 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
1235,1231,2738,0.379693,865,671,3042,0.638567,811,629,2718,0.624141,711,531,3454,0.733501,762,532,3015,0.700028
1190,1178,2767,0.402788,865,671,3042,0.638567,804,617,2729,0.631201,711,542,3538,0.734314,759,521,3032,0.706727
1416,1584,2133,0.1477,1682,1850,2437,0.136926,935,815,2032,0.427467,672,515,3736,0.757704,708,480,3029,0.726418
1422,1603,2137,0.142781,1682,1850,2437,0.136926,952,816,2006,0.421687,679,509,3764,0.76176,722,486,3082,0.727578
1428,1622,2141,0.137922,1682,1850,2437,0.136926,968,817,1979,0.415594,695,512,3768,0.760748,737,491,3134,0.729103
1440,1631,2138,0.134518,1742,1872,2474,0.138518,955,826,1982,0.411681,704,523,3689,0.751662,742,500,3061,0.71918
1456,1635,2131,0.131705,1742,1872,2474,0.138518,941,835,1985,0.407801,704,537,3571,0.738559,746,509,2988,0.708893
1472,1640,2124,0.128587,1742,1872,2474,0.138518,928,843,1988,0.404451,701,547,3509,0.730276,751,518,2915,0.698223
1479,1635,2124,0.130088,1672,1838,2486,0.149861,924,838,2004,0.410274,697,550,3472,0.726504,748,517,2903,0.697661
1467,1610,2136,0.140416,1672,1838,2486,0.149861,925,825,2027,0.421459,691,549,3424,0.723635,740,512,2922,0.701805
1455,1586,2148,0.150509,1672,1838,2486,0.149861,926,812,2050,0.432565,687,547,3379,0.721345,732,508,2941,0.705422
1443,1561,2160,0.160978,1672,1838,2486,0.149861,926,801,2069,0.441812,685,552,3351,0.717141,730,509,2967,0.707135
1430,1553,2201,0.172616,1512,1606,2658,0.246717,924,793,2077,0.447387,684,565,3373,0.713052,740,523,3011,0.704018
1416,1545,2242,0.184051,1512,1606,2658,0.246717,922,786,2085,0.452456,684,569,3436,0.715855,749,538,3054,0.700445
1402,1537,2283,0.195288,1512,1606,2658,0.246717,921,778,2094,0.458217,681,550,3454,0.725275,759,552,3098,0.697534
1391,1511,2336,0.214453,1422,1436,2876,0.333952,910,782,2123,0.461618,675,531,3429,0.731818,762,567,3052,0.686654
1382,1476,2394,0.237209,1422,1436,2876,0.333952,899,786,2152,0.464942,680,543,3406,0.724994,766,582,3007,0.675676
1263,1435,2222,0.215204,1202,1268,2043,0.234068,772,745,2051,0.467096,663,530,3513,0.737818,649,478,2782,0.706748
1310,1496,2212,0.193096,1618,1790,2360,0.137349,796,760,2038,0.456755,657,525,3546,0.742078,661,479,2832,0.710661
1351,1535,2175,0.172507,1618,1790,2360,0.137349,839,777,2022,0.444802,674,522,3626,0.748312,678,478,2893,0.716405
1392,1575,2137,0.151401,1618,1790,2360,0.137349,882,795,2005,0.432143,682,540,3679,0.744015,695,478,2955,0.721526
1433,1615,2099,0.130318,1618,1790,2360,0.137349,916,806,1992,0.423874,670,534,3710,0.748351,709,478,3012,0.726075
1439,1619,2106,0.130738,1682,1850,2437,0.136926,931,804,1985,0.423449,658,525,3731,0.753289,718,479,3060,0.729302
1445,1623,2113,0.131156,1682,1850,2437,0.136926,946,803,1977,0.422302,671,522,3745,0.755332,726,479,3108,0.732924
1451,1627,2121,0.131804,1682,1850,2437,0.136926,962,802,1970,0.421356,695,522,3732,0.754584,734,480,3156,0.735974
1456,1626,2133,0.134876,1742,1872,2474,0.138518,950,810,1991,0.421635,706,527,3652,0.747787,735,491,3064,0.723769
1459,1622,2147,0.139294,1742,1872,2474,0.138518,939,818,2012,0.421908,706,536,3540,0.736997,736,502,2971,0.710913
1462,1618,2161,0.143689,1742,1872,2474,0.138518,928,827,2033,0.421678,703,549,3452,0.725569,737,513,2879,0.697524
1459,1604,2182,0.152668,1672,1838,2486,0.149861,922,821,2061,0.430257,699,562,3376,0.714576,736,515,2855,0.694362
1447,1568,2216,0.171247,1672,1838,2486,0.149861,920,809,2092,0.442261,697,565,3319,0.709063,734,512,2865,0.696772
1434,1533,2250,0.189532,1672,1838,2486,0.149861,918,796,2124,0.454795,698,558,3304,0.711031,732,509,2875,0.699173
1422,1498,2285,0.208036,1672,1838,2486,0.149861,914,786,2155,0.465488,701,550,3326,0.716202,734,513,2902,0.699561
1388,1465,2367,0.235386,1512,1606,2658,0.246717,910,782,2188,0.473401,700,550,3373,0.719602,742,532,2961,0.695391
1355,1432,2450,0.262236,1512,1606,2658,0.246717,905,778,2220,0.480987,695,556,3430,0.721024,750,551,3019,0.691317
1323,1399,2532,0.288222,1512,1606,2658,0.246717,900,773,2253,0.489095,689,557,3456,0.722402,758,570,3078,0.6875
1257,1385,2210,0.229485,1130,1128,1946,0.266103,846,722,2000,0.469508,690,537,3470,0.731969,655,474,2768,0.707588
1289,1432,2194,0.210149,1202,1268,2043,0.234068,829,733,1983,0.460236,680,546,3532,0.732222,658,476,2795,0.708957
1322,1480,2187,0.192801,1202,1268,2043,0.234068,813,743,1966,0.451458,674,548,3545,0.732226,661,479,2822,0.709785
1355,1528,2179,0.175614,1202,1268,2043,0.234068,796,754,1949,0.442101,669,534,3532,0.737334,664,482,2849,0.710597
1385,1570,2163,0.158853,1618,1790,2360,0.137349,814,766,1939,0.433641,666,514,3562,0.747792,675,482,2892,0.714286
1408,1602,2132,0.141939,1618,1790,2360,0.137349,850,778,1933,0.426042,680,532,3602,0.742622,690,481,2945,0.719206
1432,1633,2100,0.1251,1618,1790,2360,0.137349,885,791,1926,0.41774,681,543,3653,0.741182,705,480,2997,0.7239
1455,1664,2069,0.108492,1618,1790,2360,0.137349,913,798,1926,0.414097,671,536,3693,0.746512,717,479,3047,0.728304
1462,1654,2079,0.113849,1682,1850,2437,0.136926,927,794,1937,0.418528,665,527,3717,0.751649,723,479,3090,0.731577
1468,1643,2090,0.119743,1682,1850,2437,0.136926,941,790,1949,0.423147,679,524,3731,0.753702,729,479,3133,0.734773
1475,1633,2100,0.1251,1682,1850,2437,0.136926,955,786,1961,0.427739,701,527,3725,0.752117,735,479,3176,0.737893
1471,1621,2127,0.135005,1742,1872,2474,0.138518,946,794,2000,0.431639,708,538,3657,0.743504,736,490,3073,0.724951
1461,1608,2163,0.147176,1742,1872,2474,0.138518,937,802,2039,0.43541,709,547,3512,0.730475,736,501,2970,0.711322
1451,1596,2198,0.158672,1742,1872,2474,0.138518,927,810,2078,0.439058,708,556,3366,0.716471,737,512,2867,0.696952
1440,1572,2240,0.175236,1672,1838,2486,0.149861,921,805,2117,0.449008,706,569,3273,0.7038,737,516,2836,0.692124
1427,1526,2296,0.201465,1672,1838,2486,0.149861,915,793,2157,0.462373,705,577,3239,0.697589,736,517,2840,0.691987
1413,1480,2353,0.227759,1672,1838,2486,0.149861,909,781,2197,0.475487,710,573,3270,0.701795,735,518,2844,0.69185
1400,1434,2409,0.253708,1672,1838,2486,0.149861,903,772,2242,0.487724,717,561,3329,0.711568,737,523,2867,0.691445
1349,1491,2201,0.192308,1104,1114,1822,0.241144,859,725,1960,0.459963,692,535,3539,0.737359,674,467,2843,0.717825
1379,1532,2176,0.173679,1290,1406,1784,0.118495,844,736,1936,0.449102,680,549,3560,0.732782,674,471,2864,0.717541
1400,1559,2164,0.162503,1290,1406,1784,0.118495,829,747,1913,0.438346,676,560,3553,0.727693,674,476,2886,0.716835
1420,1586,2151,0.151191,1290,1406,1784,0.118495,814,758,1889,0.427276,676,553,3543,0.72998,674,480,2907,0.716563
1436,1610,2138,0.140875,1582,1700,2298,0.149575,827,767,1887,0.422005,677,532,3558,0.739853,683,481,2945,0.719206
1443,1629,2124,0.131894,1582,1700,2298,0.149575,855,775,1895,0.419476,687,546,3572,0.734823,697,480,2992,0.723502
1450,1648,2109,0.122704,1582,1700,2298,0.149575,883,784,1903,0.41645,687,543,3606,0.73825,711,479,3038,0.727609
1457,1667,2095,0.113769,1582,1700,2298,0.149575,905,787,1920,0.418545,685,538,3659,0.743626,722,478,3082,0.731461
1459,1644,2118,0.125997,1632,1688,2636,0.219241,917,780,1956,0.429825,684,527,3702,0.750768,727,480,3120,0.733333
1461,1621,2141,0.138224,1632,1688,2636,0.219241,929,772,1992,0.441389,694,517,3726,0.756305,732,481,3158,0.735642
1463,1598,2164,0.150452,1632,1688,2636,0.219241,940,765,2029,0.452398,707,522,3733,0.754642,738,483,3196,0.737429
1449,1574,2210,0.168076,1410,1474,2787,0.308144,932,771,2086,0.460273,711,543,3672,0.742349,739,493,3087,0.724581
